Institute,Academic Program Name,Quota,Seat Type,Gender,OR1,CR1,OR2,CR2,OR3,CR3,OR4,CR4,OR5,CR5,OR6,CR6,Index
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),8395,8395,8395,8395,8395,8395,8395,8395,8395,8395,8395,8395,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2598,2645,2744,2746,2744,2746,2744,2746,2744,2746,2744,2746,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11834,13859,14621,14924,14621,14924,14621,14924,14621,15051,15346,16123,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),21935,21935,22009,22009,22009,22009,22009,22009,22009,22009,22009,22009,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2153,2227,2265,2360,2360,2367,2360,2367,2367,2372,2642,2658,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),4062,4062,4301,4301,4301,4301,4301,4301,4301,4301,4349,4349,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,5005,5066,5601,5638,5601,5663,5601,5663,5601,5663,5601,5991,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2302,2302,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,0
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1529,2806,1529,2823,1529,2836,1529,2836,1529,2836,1529,3101,0
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3423,4527,3423,5206,3423,5206,3423,5206,3423,5206,3423,5206,0
