Institute,Academic Program Name,Quota,Seat Type,Gender,OR1,CR1,OR2,CR2,OR3,CR3,OR4,CR4,OR5,CR5,OR6,CR6,Index
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,22583,35791,4955,11211,113,113,2446,3956,2446,3956,9028,11017,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),37004,39010,4834,11498,1996,8450,113,113,113,113,12865,17138,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5762,5911,484,484,8306,8306,1996,8450,1996,8450,271,271,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7528,7528,707,2960,7731,10213,8306,8306,8306,8306,1603,1766,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,12403,13339,2446,3956,11203,16748,7731,10222,7731,10296,2686,3097,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),14737,15621,113,113,271,271,11203,16748,11203,16748,63,63,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,593,593,1996,8450,1459,1527,271,271,271,271,2989,3741,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5901,6619,8306,8306,2686,3097,1459,1527,1488,1536,5369,6736,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7438,7438,7731,10213,63,63,2686,3097,2686,3097,151,151,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2484,2610,11203,16748,2353,3656,63,63,63,63,1617,2088,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,25441,49375,271,271,5369,6736,2353,3656,2353,3693,2374,2390,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),27444,43274,1459,1527,151,151,5369,6736,5369,6736,541,778,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,8049,10189,2686,3097,1445,2010,151,151,151,151,1052,1052,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),13665,13665,63,63,2374,2390,1617,2024,1617,2024,16489,18679,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,32442,43156,2353,3647,541,778,2374,2390,2374,2390,23231,23370,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),26880,30597,5369,6736,1052,1052,541,778,541,778,3585,3865,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,8437,8730,151,151,15603,18571,1052,1052,1052,1052,12661,21272,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6476,6476,1445,2010,23231,23370,15603,18571,15603,18571,20410,20410,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),20583,20583,2374,2390,3585,3865,23231,23370,23231,23370,2995,3749,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,30622,34273,541,778,12661,18696,3585,3865,3585,3865,6476,6476,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),34363,35664,1052,1052,20410,20410,12661,18696,12661,21272,11617,11617,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,1423,1423,15603,18571,2995,3749,20410,20410,20410,20410,13020,13373,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5360,5424,23231,23370,6439,6439,2995,3749,2995,3749,20271,21233,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7095,7095,3585,3865,11617,11617,6439,6439,6439,6439,390,390,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,9413,11424,12661,18696,10622,13024,11617,11617,11617,11617,1934,1957,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),14284,14464,20410,20410,20271,20448,10622,13024,10622,13024,4789,4908,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,1068,1068,2995,3749,390,390,20271,20448,20271,20448,8908,8908,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4585,5627,6439,6439,1919,1934,390,390,390,390,310,310,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3887,3887,11617,11617,4720,4791,1919,1934,1919,1934,2163,2862,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1347,1886,10622,13024,8908,8908,4720,4791,4720,4791,4648,4648,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),3037,3037,20271,20345,310,310,8908,8908,8908,8908,1132,1132,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,23060,50642,390,390,2163,2707,310,310,310,310,27250,32848,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),54061,57205,1919,1934,4648,4648,2163,2862,2163,2862,27444,28767,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,8273,10609,4609,4789,1132,1132,4648,4648,4648,4648,5854,6138,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),15239,15239,8908,8908,25861,27923,1132,1132,1132,1132,6188,6188,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,23971,44463,310,310,26051,26451,25861,27923,25861,28089,22351,30597,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),32420,44879,2163,2707,5854,5962,26051,26451,26051,26451,22251,23351,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,5208,8866,4648,4648,6188,6188,5854,5962,5854,6138,2838,5096,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),8415,8415,1132,1132,22351,29431,6188,6188,6188,6188,6382,6382,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,10834,10834,25115,27818,22251,23351,22351,29431,22351,30597,19308,22308,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,32680,36145,26051,26451,2838,5096,22251,23351,22251,23351,25890,30038,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),39554,42924,5854,5962,6382,6382,2838,5096,2838,5096,3546,3574,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,1207,1207,6188,6188,16376,20332,6382,6382,6382,6382,5035,5035,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5783,5926,22351,29431,25890,28671,16376,20332,16376,20333,6476,7612,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7151,7151,22251,23351,3151,3152,25890,28671,25890,28671,12332,12949,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10322,11805,2838,5096,5035,5035,3151,3222,3151,3222,3605,3661,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15329,16557,6382,6382,5478,6831,5035,5035,5035,5035,1840,1854,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4196,5606,16376,20332,10519,12332,5478,6831,5478,6831,19682,24092,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7094,7094,25890,28644,3605,3661,10519,12332,10519,12332,21154,24024,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1048,1568,3151,3152,1840,1854,3605,3661,3605,3661,661,661,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2514,2514,5035,5035,19682,23031,1840,1854,1840,1854,5170,5223,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,8346,14058,5478,6716,17071,23228,19682,23031,19682,23031,5040,5040,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),5952,16727,10519,12332,661,661,17071,23228,17071,23228,14154,21786,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,277,277,3523,3605,5170,5223,661,661,661,661,19352,20255,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2122,3288,1840,1854,5040,5040,5170,5223,5170,5223,3643,3894,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),2711,3237,19682,23031,14154,21566,5040,5040,5040,5040,4979,4979,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4955,11211,17071,23228,19352,20255,14154,21566,14154,21786,9106,29781,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),4834,11241,661,661,3643,3894,19352,20255,19352,20255,20583,20583,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,484,484,5170,5223,4979,4979,3643,3894,3643,3894,13926,15255,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,707,2960,5040,5040,9106,29781,4979,4979,4979,4979,23716,25009,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),2446,3956,14154,21566,20583,20583,9106,29781,9106,29781,448,448,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,113,113,19352,20255,12524,14388,20583,20583,20583,20583,2282,2313,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1996,5970,3643,3894,21056,23402,12524,14388,12524,14570,4360,4360,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),7108,7108,4979,4979,448,448,21056,23402,21056,23402,4813,5575,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,4459,9890,9106,29781,2123,2282,448,448,448,448,9489,10013,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),11203,14551,20583,20583,3696,3696,2123,2282,2149,2305,319,319,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,271,271,12524,14348,4610,5351,3696,3696,3696,3696,2222,3225,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1382,1459,21056,23402,9489,10013,4610,5351,4769,5426,3783,3783,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),2686,3097,448,448,319,319,9489,10013,9489,10013,1144,1207,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,63,63,2095,2149,2222,2908,319,319,319,319,1893,1893,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,2353,3447,3696,3696,3783,3783,2222,2908,2222,2908,19565,26046,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),5369,6285,4610,5315,1144,1207,3783,3783,3783,3783,26051,26051,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,151,151,9489,10013,1893,1893,1144,1207,1144,1207,5746,5746,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1324,1879,319,319,19565,23994,1893,1893,1893,1893,6104,6104,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),2374,2390,2222,2908,25967,25967,19565,23994,19565,23994,22109,24664,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,529,677,3783,3783,5746,5746,25967,25967,25967,25967,27115,27115,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1052,1052,1144,1207,6104,6104,5746,5746,5746,5746,4559,4594,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,15603,18571,1893,1893,21786,23606,6104,6104,6104,6104,15807,17582,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),23231,23370,19565,23994,27115,27115,21786,23606,22109,24664,26724,26724,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3585,3865,25967,25967,4559,4594,27115,27115,27115,27115,961,961,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,12661,18696,5746,5746,15096,16030,4559,4594,4559,4594,2960,2960,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),20410,20410,6104,6104,24457,24457,15096,16030,15096,16030,5831,5986,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2995,3474,21786,23606,961,961,24457,24457,24457,24457,11518,11518,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6439,6439,27115,27115,2400,2400,961,961,961,961,632,632,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,7892,7892,4559,4594,5831,5837,2400,2400,2400,2400,3290,3575,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,10622,12282,15096,16030,11500,11500,5831,5837,5831,5986,5427,5427,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),18312,18884,24457,24457,632,632,11518,11518,11518,11518,1446,1446,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,390,390,961,961,3275,3290,632,632,632,632,52141,67697,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1885,1894,2400,2400,5427,5427,3275,3290,3275,3290,48952,60407,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4165,4278,5831,5837,1446,1446,5427,5427,5427,5427,1499,1499,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8753,8753,11500,11500,47162,64258,1446,1446,1446,1446,15226,17087,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,310,310,632,632,48952,60407,47162,64465,47162,64694,22125,22125,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2163,2422,3275,3290,1499,1499,48952,60407,48952,60407,55253,83736,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3877,3877,5427,5427,10528,15226,1499,1499,1499,1499,65306,66884,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,752,752,1446,1446,16907,16907,14619,15682,15226,16670,10568,13382,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,22887,27120,47162,61747,55253,78209,16907,16907,20186,20186,11795,11795,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),26051,26451,48952,60407,65306,66884,55253,80768,55253,81056,36660,48352,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5531,5854,1499,1499,10568,13382,65306,66884,65306,66884,56237,57126,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6104,6104,10528,15226,11795,11795,10568,13382,10568,13382,7894,8345,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,22351,25300,14480,14480,36660,43906,11795,11795,11795,11795,9811,9811,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),21272,22251,55039,71999,46094,47387,36660,44392,36660,44392,14580,14920,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2838,5096,65306,66884,7098,7486,46094,50283,46094,50381,19478,20474,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6382,6382,9777,12331,8147,8147,7194,7509,7194,7509,7512,8751,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15455,18801,11795,11795,13904,14900,8807,8807,9248,9248,10966,10966,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),25890,27508,34814,41884,19478,19803,13904,14900,13904,14900,2982,2982,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2892,2957,46094,47387,7512,8320,19478,19906,19478,19906,4579,4579,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4243,4243,6740,7063,10182,10182,7512,8320,7512,8488,16378,21634,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5478,6558,8147,8147,2982,2982,10182,10182,10182,10182,17580,22472,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),10013,10134,13904,14694,4579,4579,2982,2982,2982,2982,1546,1546,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2908,3196,18981,19775,15488,20207,4579,4579,4579,4579,3784,4030,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC (PwD),Gender-Neutral,127,127,7512,8137,17580,22472,15488,20207,15622,20362,4358,4358,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1391,1449,10182,10182,1546,1546,17580,22472,17580,22472,12636,17679,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,18509,21840,2982,2982,3784,4030,1546,1546,1546,1546,12114,17473,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),17071,23228,4416,4416,4358,4358,3784,4030,3784,4030,3079,3397,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,661,661,15488,19986,11282,17593,4358,4358,4358,4358,5369,5390,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3392,5170,17580,22472,12114,17473,11282,17593,12636,17679,11802,15430,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),5040,5040,1546,1546,3079,3397,12114,17473,12114,17473,2904,2904,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,14154,20255,3784,4030,5369,5390,3079,3397,3079,3397,11431,13180,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),17473,19352,4358,4358,11802,15430,5369,5390,5369,5390,18312,21588,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3643,3755,11282,17593,2904,2904,11802,15430,11802,15430,350,350,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),4979,4979,12114,17473,11017,13057,2904,2904,2904,2904,1898,2047,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,9106,15430,3079,3397,17138,20345,11017,13057,11017,13060,3696,3696,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),8306,8306,5369,5390,350,350,17138,20345,17138,20345,110,110,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,12352,13853,11802,15430,1873,1935,350,350,350,350,4069,4788,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),19857,21061,2904,2904,3284,3284,1873,1935,1873,1935,6883,8412,23
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,448,448,11017,12988,110,110,3284,3284,3284,3284,241,241,23
